s,ell,m,n,branch_id,source_coordinate_id,source_coordinate_numerator,source_coordinate_denominator,source_transformation_id,spin_numerator,spin_denominator,spin_float,spin_binary64_hex,omega_re_M,omega_im_M,angular_A_re,angular_A_im,root_solver_success,optimizer_residual_abs,continued_fraction_error,continued_fraction_terms,angular_padding,angular_refinement_padding,angular_refinement_abs,repeat_polish_delta_abs,predictor_correction_abs,predictor_correction_over_separation,assigned_separation_abs,assignment_relative_gap,canonical_polish_delta_abs,independent_path_delta_abs,reverse_delta_abs,angular_overlap_min,schedule_a_steps,schedule_b_steps,minimum_adaptive_step
-2,4,4,0,schwarzschild-overtone-continuation,a-over-M,99,100,identity-a-over-M,4458563631096791,4503599627370496,0.99,0x1.fae147ae147aep-1,1.773136293589923,-0.02947466075606541,13.871782377963052,0.09458027097159424,true,5.2968954590617326e-14,1.663149665077564e-14,1000,20,24,1.4210963135005665e-14,3.9898639947466563e-16,0.03560393244137658,0.22345772733239813,0.05895130834529518,3.5815697169863308,4.163336342344337e-16,2.8609792490763985e-16,6.661338147750939e-16,0.9998102495497619,15,16,0.022499999999999964
-2,4,4,0,schwarzschild-overtone-continuation,a-over-M,199,200,identity-a-over-M,8962163258467287,9007199254740992,0.995,0x1.fd70a3d70a3d7p-1,1.8347399991656064,-0.021945290017172023,13.641223246862747,0.07260288250188159,true,6.555810555950891e-14,8.135329191575242e-14,1000,20,24,8.881888388218901e-14,0.0,0.03560393244137658,0.22345772733239813,0.04389116775790747,3.5815697169863308,0.0,1.3574895649832146e-15,4.8345719360749504e-15,0.9998102495497619,18,20,0.022499999999999964
-2,4,4,0,schwarzschild-overtone-continuation,a-over-M,997,1000,identity-a-over-M,8980177656976769,9007199254740992,0.997,0x1.fe76c8b439581p-1,1.8698529308169323,-0.017492802632043027,13.511616707308317,0.05880452060349908,true,9.807903047680156e-14,3.360511403983707e-14,1000,20,24,3.5527310259929093e-14,0.0,0.03560393244137658,0.22345772733239813,0.034985839413312236,3.5815697169863308,0.0,6.730727086790012e-16,8.121767085755589e-16,0.9998102495497619,21,23,0.022499999999999964
-2,4,4,0,schwarzschild-overtone-continuation,a-over-M,999,1000,identity-a-over-M,8998192055486251,9007199254740992,0.999,0x1.ff7ced916872bp-1,1.9229928773337701,-0.010536400989477383,13.317923388021153,0.03622254168656132,true,2.828148408517053e-13,9.24156474531335e-15,1000,20,24,1.0658366909460692e-14,0.0,0.03560393244137658,0.22345772733239813,0.0210728325700569,3.5815697169863308,0.0,9.766493169749424e-16,8.244153548874836e-16,0.9998102495497619,26,29,0.022499999999999964
-2,4,4,0,schwarzschild-overtone-continuation,a-over-M,1999,2000,identity-a-over-M,4501347827556811,4503599627370496,0.9995,0x1.ffbe76c8b4396p-1,1.9450012462331179,-0.007579589008509854,13.238557199731558,0.026285406998495534,true,8.643643925043571e-13,7.374296560413535e-14,1000,20,24,6.394908150490597e-14,0.0,0.03560393244137658,0.22345772733239813,0.015159186165111112,3.5815697169863308,1.7600616290760162e-15,8.642792950071465e-16,1.0190492755571723e-15,0.9998102495497619,29,33,0.022499999999999964
-2,4,4,0,schwarzschild-overtone-continuation,a-over-M,9999,10000,identity-a-over-M,4503149267407759,4503599627370496,0.9999,0x1.fff2e48e8a71ep-1,1.9750699651888812,-0.003469179993007977,13.130921310048162,0.0121686977402172,true,4.864407436331911e-13,1.502702346173435e-14,1000,20,24,1.4210861491463966e-14,4.3194614551822497e-16,0.03560393244137658,0.22345772733239813,0.00693836034657272,3.5815697169863308,4.1822453462966204e-15,3.946495907847236e-16,1.5213119384827496e-15,0.9998102495497619,36,42,0.022499999999999964
-2,4,4,1,schwarzschild-overtone-continuation,a-over-M,19,20,identity-a-over-M,4278419646001971,4503599627370496,0.95,0x1.e666666666666p-1,1.5479509696079177,-0.1613239057631471,14.760650843604877,0.4468349678650474,true,2.673771110915334e-15,1.2505665694398903e-14,1000,20,24,1.7769118642034836e-14,0.0,0.0365965290451337,0.2296874712405642,0.1075627126809358,3.5815697169863308,6.087272963323595e-16,1.443556787877425e-15,3.525285909701787e-15,0.9998083974611836,7,7,0.022499999999999964
-2,4,4,1,schwarzschild-overtone-continuation,a-over-M,97,100,identity-a-over-M,4368491638549381,4503599627370496,0.97,0x1.f0a3d70a3d70ap-1,1.6335346285831736,-0.13540831311972673,14.417889870315602,0.3996647361211192,true,2.8197986328118e-13,4.936386670660743e-14,1000,20,24,3.908994210040608e-14,0.0,0.0365965290451337,0.2296874712405642,0.09027752638463088,3.5815697169863308,0.0,6.157485465446498e-15,1.5975738988547494e-15,0.9998083974611836,10,10,0.022499999999999964
-2,4,4,1,schwarzschild-overtone-continuation,a-over-M,49,50,identity-a-over-M,2206763817411543,2251799813685248,0.98,0x1.f5c28f5c28f5cp-1,1.6917184034648036,-0.11651945030993589,14.189317012444441,0.35704753525861477,true,1.8157547376451196e-13,1.76298382481825e-14,1000,20,24,2.1323508862248838e-14,0.0,0.0365965290451337,0.2296874712405642,0.07768214716227549,3.5815697169863308,0.0,4.551999020833967e-15,4.002966042486721e-15,0.9998083974611836,12,12,0.022499999999999964
-2,4,4,1,schwarzschild-overtone-continuation,a-over-M,99,100,identity-a-over-M,4458563631096791,4503599627370496,0.99,0x1.fae147ae147aep-1,1.773043845090864,-0.08842589661162659,13.876105531466308,0.28370760186964583,true,3.382155549907549e-14,4.817139873944063e-14,1000,20,24,4.6186912438755377e-14,0.0,0.0365965290451337,0.2296874712405642,0.05895130834529518,3.5815697169863308,8.891536662303994e-16,8.751813177181079e-16,5.696861476186532e-15,0.9998083974611836,15,16,0.022499999999999964
-2,4,4,1,schwarzschild-overtone-continuation,a-over-M,199,200,identity-a-over-M,8962163258467287,9007199254740992,0.995,0x1.fd70a3d70a3d7p-1,1.834703523675563,-0.06583644261871004,13.64363881504081,0.21779516717107938,true,4.617101352586812e-13,2.0458250512356207e-14,1000,20,24,2.8427129924377134e-14,3.4076116006228647e-15,0.0365965290451337,0.2296874712405642,0.04389116775790747,3.5815697169863308,6.358389842764979e-15,1.3306041476995274e-15,2.5863728988914974e-14,0.9998083974611836,18,20,0.022499999999999964
-2,4,4,1,schwarzschild-overtone-continuation,a-over-M,997,1000,identity-a-over-M,8980177656976769,9007199254740992,0.997,0x1.fe76c8b439581p-1,1.8698349377917254,-0.05247863741850005,13.513155326671747,0.17640682270562516,true,4.672646332491331e-13,3.126652965704923e-14,1000,20,24,4.619861992399799e-14,2.544786717585991e-15,0.0365965290451337,0.2296874712405642,0.034985839413312236,3.5815697169863308,3.2592495070968175e-15,1.6910413304902302e-15,2.1096063413561365e-15,0.9998083974611836,21,23,0.022499999999999964
-2,4,4,1,schwarzschild-overtone-continuation,a-over-M,999,1000,identity-a-over-M,8998192055486251,9007199254740992,0.999,0x1.ff7ced916872bp-1,1.9229891019558238,-0.031609233221340724,13.318482336565484,0.10866618478980264,true,3.580548948608344e-13,8.021313332746002e-15,1000,20,24,1.0659441999608839e-14,1.3369575839890335e-15,0.0365965290451337,0.2296874712405642,0.0210728325700569,3.5815697169863308,2.1649348980190553e-15,1.7235296186091125e-15,1.7486012637846216e-15,0.9998083974611836,26,29,0.022499999999999964
-2,4,4,1,schwarzschild-overtone-continuation,a-over-M,1999,2000,identity-a-over-M,4501347827556811,4503599627370496,0.9995,0x1.ffbe76c8b4396p-1,1.9449998649122762,-0.022738775110685977,13.238846387614887,0.07885568968322777,true,2.8837362924803545e-13,1.5525666180605437e-14,1000,20,24,1.7763655129964547e-14,0.0,0.0365965290451337,0.2296874712405642,0.015159186165111112,3.5815697169863308,0.0,4.544975507059235e-16,1.9555373935507587e-15,0.9998083974611836,29,33,0.022499999999999964
-2,4,4,1,schwarzschild-overtone-continuation,a-over-M,9999,10000,identity-a-over-M,4503149267407759,4503599627370496,0.9999,0x1.fff2e48e8a71ep-1,1.975069835882948,-0.01040754033837597,13.130981833476778,0.036506042921827485,true,1.1279572198070861e-12,2.211011313778066e-13,1000,20,24,3.197453152923794e-14,1.4765992313558848e-15,0.0365965290451337,0.2296874712405642,0.00693836034657272,3.5815697169863308,6.420211584590163e-15,3.1157488066156603e-16,2.6922908347160046e-15,0.9998083974611836,36,42,0.022499999999999964
